电影名称,英文名称,评分,上映状态,上线时间,上线地区,类型,电影链接,图片链接,导演信息
有这样一个小伙子,There Is Such a Lad,0.0,已上映,1966-01-16,芬兰,"爱情, 喜剧",http://movie.mtime.com/20028,http://img31.mtime.cn/mt/2014/02/23/004630.52685713_1280X720X2.jpg,"{""导演名称"": """", ""导演英文名称"": ""Vasili Shukshin"", ""导演图片链接"": ""http://img31.mtime.cn/ph/456/896456/896456_1280X720X2.jpg""}"
手下不留情,The Evil That Men Do,0.0,已上映,1984-03-15,法国,"动作, 惊悚",http://movie.mtime.com/20030,http://img31.mtime.cn/mt/2014/02/23/004631.54338427_1280X720X2.jpg,"{""导演名称"": ""J·李·汤普森"", ""导演英文名称"": ""J. Lee Thompson"", ""导演图片链接"": ""http://img21.mtime.cn/ph/2012/04/25/115718.17054740_1280X720X2.jpg""}"
惊天神,Atlas,0.0,已上映,,,"动作, 剧情, 冒险",http://movie.mtime.com/20036,http://img31.mtime.cn/mt/2014/02/23/004638.39663929_1280X720X2.jpg,"{""导演名称"": ""罗杰·科曼"", ""导演英文名称"": ""Roger Corman"", ""导演图片链接"": ""http://img31.mtime.cn/ph/2014/03/14/154504.66209102_1280X720X2.jpg""}"
,Freundinnen und andere Monster,0.0,已上映,1998-07-09,德国,,http://movie.mtime.com/20062,http://img31.mtime.cn/mt/2014/02/23/004653.83082676_1280X720X2.jpg,"{""导演名称"": """", ""导演英文名称"": ""Mika Kallwass"", ""导演图片链接"": ""http://img31.mtime.cn/ph/1737/907737/907737_1280X720X2.jpg""}"
冰上轻驰,Cool Runnings,8.0,已上映,1993-10-01,美国,"家庭, 冒险, 喜剧, 运动",http://movie.mtime.com/20017,http://img31.mtime.cn/mt/2014/02/23/004621.52340302_1280X720X2.jpg,"{""导演名称"": ""乔·德特杜巴"", ""导演英文名称"": ""Jon Turteltaub"", ""导演图片链接"": ""http://img31.mtime.cn/ph/2014/02/22/193654.72220844_1280X720X2.jpg""}"
金银岛,Treasure Island,0.0,已上映,1950-07-19,美国,"家庭, 冒险",http://movie.mtime.com/20027,http://img31.mtime.cn/mt/2014/02/23/004630.14420422_1280X720X2.jpg,"{""导演名称"": ""拜伦·哈斯金"", ""导演英文名称"": ""Byron Haskin"", ""导演图片链接"": ""http://img31.mtime.cn/ph/817/894817/894817_1280X720X2.jpg""}"
拉斯维加斯,Las Vegas,8.6,已上映,2003-09-22,美国,"剧情, 犯罪",http://movie.mtime.com/20003,http://img31.mtime.cn/mt/2014/02/23/004614.25537295_1280X720X2.jpg,"{""导演名称"": """", ""导演英文名称"": ""Milan Cheylov"", ""导演图片链接"": ""http://img31.mtime.cn/ph/254/906254/906254_1280X720X2.jpg""}"
西域枪神,Wild Bill,0.0,已上映,1995-12-01,美国,,http://movie.mtime.com/20019,http://img31.mtime.cn/mt/2014/02/23/004622.70808621_1280X720X2.jpg,"{""导演名称"": ""沃尔特·希尔"", ""导演英文名称"": ""Walter Hill"", ""导演图片链接"": ""http://img31.mtime.cn/ph/2014/05/06/163945.18472290_1280X720X2.jpg""}"
天妖,The Unnamable,0.0,已上映,,,恐怖,http://movie.mtime.com/20075,http://img31.mtime.cn/mt/2014/02/23/004702.84219041_1280X720X2.jpg,"{""导演名称"": """", ""导演英文名称"": ""Jean-Paul Ouellette"", ""导演图片链接"": ""http://img31.mtime.cn/ph/1760/907760/907760_1280X720X2.jpg""}"
重返伊甸园,Return to Paradise,0.0,已上映,1998-08-10,美国,"爱情, 惊悚, 剧情",http://movie.mtime.com/20010,http://img31.mtime.cn/mt/2014/02/23/004617.28311264_1280X720X2.jpg,"{""导演名称"": ""约瑟夫·鲁本"", ""导演英文名称"": ""Joseph Ruben"", ""导演图片链接"": ""http://img5.mtime.cn/ph/2017/08/18/180823.94299957_1280X720X2.jpg""}"
