地区,类型,电影数量
,动画,1
法国,剧情,1
,惊悚,1
芬兰,动作,1
芬兰,剧情,1
芬兰,冒险,1
芬兰,战争,1
德国,剧情,1
美国,爱情,1
美国,剧情,1
美国,喜剧,1
,未知,1
,剧情,1
