导演名称,电影数量
吴云初 (Yunchu Wu),1
克劳特·乌当-拉哈 (Claude Autant-Lara),1
 (Geoff Cox),1
 (Robert Parrish),1
 (Bülent Akinci),1
塔拉·戴维斯 (Tamra Davis),1
 (Riyong Gyu Yun),1
成浩 (Hao Cheng),1
